[&R] (((((216_7:0,216_8:0)207_5:1.614,216_10:2.614)130_4:2.366,(((216_14:0,216_15:0)213_13:0.002,216_16:1.002)173_8:0.001,((216_18:0,216_19:0)215_18:0,216_21:0)177_11:0.003)130_5:3.977)81_2:0.579,((216_5:1.171,216_6:0.171)213_5:1.247,216_4:1.418)171_2:4.141)31_1:3.441)I0;
I0,0,0,0,0,0,0,0,0,0,0
31_1,0,0:0.14/1:0.86,0:0.14/2:0.86,0,0,0,0,0,0:0.14/1:0.86,0:0.14/1:0.86
171_2,0,0:0.01/1:0.99,0:0.01/2:0.99,0:0.09/1:0.91,0:0.09/1:0.91,0,0:0.09/2:0.91,0:0.09/1:0.91,0:0.01/1:0.99,0:0.01/1:0.99
216_4,1,1,2,1,1,0,2,1,1,1
213_5,0,1,2,0:0.01/1:0.99,0:0.01/1:0.99,0:0.12/1:0.88,0:0.01/2:0.99,0:0.01/1:0.99,1,1
216_6,0,1,2,1,1,1,2,1,1,1
216_5,2,1,2,1,1,1,2,1,1,1
81_2,0:0.63/2:0.37,0:0.09/1:0.91,0:0.09/2:0.91,0,0,0,0,0,0:0.09/1:0.91,0:0.09/1:0.91
130_5,2,1,2,2,1,0,2,0,1,1
177_11,2,1,2,2,1,0,2,0,1,1
216_21,2,1,2,2,1,0,2,0,1,1
215_18,2,1,2,2,1,0,2,0,1,1
216_19,2,1,2,2,1,0,2,0,1,1
216_18,2,1,2,2,1,0,2,0,1,1
173_8,2,1,2,2,1,0,2,0,1,1
216_16,2,1,2,2,1,0,2,1,1,1
213_13,2,1,2,2,1,0,2,0,1,1
216_15,2,1,2,2,1,0,2,0,1,1
216_14,2,1,2,2,1,0,2,0,1,1
130_4,0:0.13/2:0.87,0:0.02/1:0.98,0:0.02/2:0.98,0,0,0:0.21/1:0.79,0,0:0.21/2:0.79,0:0.02/1:0.98,0:0.02/1:0.98
216_10,2,1,2,0,2,1,2,2,1,1
207_5,2,1,2,0,1,1,0,2,1,1
216_8,2,1,2,0,1,1,0,2,1,1
216_7,2,1,2,0,1,1,0,2,1,1
