[&R] (((((216_3:0,216_4:0)202_2:2.382,(216_1:1.048,216_2:0.048)203_1:1.334)161_1:0.903,((216_7:0,216_8:0)207_6:1.583,(216_5:0,216_6:0)208_5:2.583)161_2:1.702)114_1:1.9,(((216_9:0,216_10:0)213_9:3.562,216_11:1.562)169_5:0.671,((216_12:0,216_13:0)214_12:2.82,(216_14:0,216_15:0)215_14:2.82)172_7:1.414)123_3:0.952)61_1:2.815)I0;
I0,0,0,0,0,0,0,0,0,0,0
61_1,0:0.06/1:0.94,0,0,0,0:0.06/1:0.94,0,0,0,0:0.06/2:0.94,0
123_3,0:0.01/1:0.99,0,0,0,0:0.01/1:0.99,0,0:0.2/2:0.8,0,0:0.01/2:0.99,0
172_7,1,0,0:0.37/2:0.63,0:0.37/2:0.63,1,0,0:0.07/2:0.93,0,2,0
215_14,1,0,2,2,1,0,2,1,2,2
216_15,1,0,2,2,1,0,2,1,2,2
216_14,1,0,2,2,1,0,2,1,2,2
214_12,1,2,2,2,1,0,2,0,2,1
216_13,1,2,2,2,1,0,2,0,2,1
216_12,1,2,2,2,1,0,2,0,2,1
169_5,0:0.01/1:0.99,0,0,0,0:0.01/1:0.99,0,0:0.09/2:0.91,0:0.46/1:0.54,0:0.01/2:0.99,0
216_11,1,0,0,1,1,0,2,1,2,0
213_9,1,0,1,0,1,2,2,1,2,1
216_10,1,0,1,0,1,2,2,1,2,1
216_9,1,0,1,0,1,2,2,1,2,1
114_1,0:0.01/1:0.99,0:0.13/1:0.87,0,0,0:0.01/1:0.99,0,0,0,0:0.01/2:0.99,0:0.13/2:0.87
161_2,1,0:0.03/1:0.97,0,0:0.26/1:0.74,1,0:0.26/1:0.74,0,0,2,0:0.03/2:0.97
208_5,1,1,1,1,1,1,2,0,2,2
216_6,1,1,1,1,1,1,2,0,2,2
216_5,1,1,1,1,1,1,2,0,2,2
207_6,1,1,0,1,1,1,1,0,2,2
216_8,1,1,0,1,1,1,1,0,2,2
216_7,1,1,0,1,1,1,1,0,2,2
161_1,1,0:0.04/1:0.96,0,0:0.3/2:0.7,1,0,0,0,2,0:0.04/2:0.96
203_1,1,1,0:0.03/1:0.97,0:0.01/2:0.99,1,0,0,0,2,2
216_2,1,1,1,2,1,0,0,0,2,2
216_1,1,1,1,2,1,0,2,0,2,2
202_2,1,1,0,2,1,0,1,2,2,2
216_4,1,1,0,2,1,0,1,2,2,2
216_3,1,1,0,2,1,0,1,2,2,2
