[&R] (((((216_3:0,216_4:0)196_2:0,(216_1:0,216_2:0)199_1:0)152_1:1.169,((216_5:0,216_6:0)205_5:1.049,(216_7:0,216_8:0)214_7:0.049)157_3:1.119)95_1:2.309,((216_10:1.049,216_11:0.049)200_8:1.33,216_9:2.379)154_4:2.098)38_1:3.523)I0;
I0,0,0,0,0,0,0,0,0,0,0
38_1,0,0:0.12/2:0.88,0,0,0:0.12/1:0.88,0,0,0,0:0.12/2:0.88,0:0.12/2:0.88
154_4,0,0:0.02/2:0.98,0,0,0:0.02/1:0.98,0:0.15/2:0.85,0,0:0.15/2:0.85,0:0.02/2:0.98,0:0.02/2:0.98
216_9,1,2,0,1,1,2,0,2,2,2
200_8,0,2,0:0.04/2:0.96,0,1,0:0.01/2:0.99,0,0:0.01/2:0.99,2,2
216_11,0,2,2,0,1,2,0,2,2,2
216_10,0,2,2,1,1,2,0,2,2,2
95_1,0,0:0.01/2:0.99,0,0,0:0.01/1:0.99,0,0:0.07/1:0.93,0:0.07/1:0.93,0:0.01/2:0.99,0:0.01/2:0.99
157_3,0,2,0:0.04/1:0.96,0,1,0,1,1,2,2
214_7,0,2,1,0,1,0,1,1,2,2
216_8,0,2,1,0,1,0,1,1,2,2
216_7,0,2,1,0,1,0,1,1,2,2
205_5,0,2,1,2,1,0,1,1,2,2
216_6,0,2,1,2,1,0,1,1,2,2
216_5,0,2,1,2,1,0,1,1,2,2
152_1,0,2,0,0,1,2,1,1,2,2
199_1,0,2,0,0,1,2,1,1,2,2
216_2,0,2,0,0,1,2,1,1,2,2
216_1,0,2,0,0,1,2,1,1,2,2
196_2,0,2,0,0,1,2,1,1,2,2
216_4,0,2,0,0,1,2,1,1,2,2
216_3,0,2,0,0,1,2,1,1,2,2
