[&R] (((((216_1:0,216_2:0)182_1:2.126,(216_3:1.12,216_4:2.12)187_3:0.006)133_1:4.032,(216_7:0,216_8:0)184_5:1.158)82_1:0.005,(((216_9:0,216_10:0)180_5:1.02,(216_11:0.018,216_12:1.018)186_9:0.003)136_4:2.308,((216_15:0,216_16:0)197_14:1.476,216_13:2.476)150_7:0.852)85_3:2.835)30_1:2.836)I0;
I0,0,0,0,0,0,0,0,0,0,0
30_1,0,0,0,0,0,0,0,0:0.05/2:0.95,0:0.05/2:0.95,0:0.05/1:0.95
85_3,0:0.1/2:0.9,0,0,0,0,0:0.1/1:0.9,0:0.1/1:0.9,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/1:0.99
150_7,0:0.04/2:0.96,0:0.36/1:0.64,0,0,0,0:0.04/1:0.96,0:0.04/1:0.96,2,2,1
216_13,2,1,2,2,0,1,1,2,2,1
197_14,2,1,0,0,1,1,1,2,2,1
216_16,2,1,0,0,1,1,1,2,2,1
216_15,2,1,0,0,1,1,1,2,2,1
136_4,2,0,0:0.01/2:0.99,0:0.01/2:0.99,0,1,1,2,2,1
186_9,2,0,0:0.01/2:0.99,0:0.01/2:0.99,0,1,1,2,2,1
216_12,2,1,2,2,0,1,1,2,2,1
216_11,2,0,2,2,0,1,1,2,2,1
180_5,2,1,2,2,0,1,1,2,2,1
216_10,2,1,2,2,0,1,1,2,2,1
216_9,2,1,2,2,0,1,1,2,2,1
82_1,0,0,0,0,0,0,0,0:0.05/2:0.95,0:0.05/2:0.95,0:0.05/1:0.95
184_5,1,0,0,0,0,0,0,2,2,1
216_8,1,0,0,0,0,0,0,2,2,1
216_7,1,0,0,0,0,0,0,2,2,1
133_1,0,0:0.03/1:0.97,0,0:0.03/2:0.97,0:0.03/2:0.97,0:0.03/1:0.97,0,2,2,1
187_3,0,0:0.03/1:0.97,0,0:0.03/2:0.97,0:0.03/2:0.97,0:0.03/1:0.97,0,2,2,1
216_4,2,1,1,2,2,1,0,2,2,1
216_3,1,1,0,2,2,1,0,2,2,1
182_1,1,1,1,2,2,1,0,2,2,1
216_2,1,1,1,2,2,1,0,2,2,1
216_1,1,1,1,2,2,1,0,2,2,1
