[&R] ((((((216_3:0,216_4:0)207_2:0,(216_1:0,216_2:0)209_1:0)165_1:2.298,(216_5:0,216_6:0)210_5:0.298)120_1:4.377,((216_9:1.04,216_10:1.04)177_5:0.04,216_11:3.08)123_3:1.595)70_1:0.516,((216_14:1.201,216_15:1.201)179_9:2.005,216_13:0.206)129_5:1.985)23_1:2.809)I0;
I0,0,0,0,0,0,0,0,0,0,0
23_1,0,0,0,0:0.06/1:0.94,0:0.06/1:0.94,0:0.06/1:0.94,0,0,0,0
129_5,0,0,0:0.09/1:0.91,0:0.01/1:0.99,0:0.01/1:0.99,0:0.01/1:0.99,0,0:0.09/2:0.91,0,0
216_13,0,0,1,1,1,1,0,2,0,0
179_9,0:0.09/1:0.91,0:0.09/2:0.91,0:0.01/1:0.99,1,1,1,0,0:0.01/2:0.99,0,0
216_15,1,2,1,1,1,1,0,2,1,0
216_14,1,2,1,1,1,1,1,2,0,0
70_1,0,0:0.57/2:0.43,0,0:0.04/1:0.96,0:0.04/1:0.96,0:0.04/1:0.96,0,0,0,0
123_3,0,0:0.03/2:0.97,0,1,1,1,0,0,0,0:0.05/2:0.95
216_11,0,2,1,1,1,1,2,1,0,2
177_5,0,0:0.01/2:0.99,0,1,1,1,0,0,0,0:0.02/2:0.98
216_10,0,2,0,1,1,1,0,2,0,2
216_9,0,2,0,1,1,1,0,0,2,2
120_1,0:0.06/1:0.94,0:0.04/2:0.96,0,1,1,1,0:0.06/1:0.94,0:0.06/2:0.94,0:0.06/2:0.94,0
210_5,1,2,0,1,1,1,1,2,2,0
216_6,1,2,0,1,1,1,1,2,2,0
216_5,1,2,0,1,1,1,1,2,2,0
165_1,1,2,2,1,1,1,1,2,2,2
209_1,1,2,2,1,1,1,1,2,2,2
216_2,1,2,2,1,1,1,1,2,2,2
216_1,1,2,2,1,1,1,1,2,2,2
207_2,1,2,2,1,1,1,1,2,2,2
216_4,1,2,2,1,1,1,1,2,2,2
216_3,1,2,2,1,1,1,1,2,2,2
