[&R] (((((216_6:1.018,216_7:0.018)200_4:0.001,(216_4:0,216_5:0)206_4:1.019)157_2:1.597,(216_1:1.183,216_2:0.183)204_1:2.433)90_1:5.383,(((216_12:0,216_13:0)191_7:0.273,(216_14:0,216_15:0)193_9:3.273)142_4:0.006,((216_10:0,216_11:0)194_6:0,(216_8:0,216_9:0)195_5:0)150_3:3.279)91_3:5.721)33_1:1)I0;
I0,0,0,0,0,0,0,0,0,0,0
33_1,0:0.67/2:0.33,0,0:0.67/1:0.33,0:0.67/2:0.33,0,0,0,0,0,0
91_3,0:0.03/2:0.97,0:0.05/1:0.95,0:0.03/1:0.97,0:0.03/2:0.97,0,0,0:0.05/1:0.95,0:0.05/1:0.95,0:0.05/2:0.95,0
150_3,2,1,1,2,1,1,1,1,2,2
195_5,2,1,1,2,1,1,1,1,2,2
216_9,2,1,1,2,1,1,1,1,2,2
216_8,2,1,1,2,1,1,1,1,2,2
194_6,2,1,1,2,1,1,1,1,2,2
216_11,2,1,1,2,1,1,1,1,2,2
216_10,2,1,1,2,1,1,1,1,2,2
142_4,0:0.03/2:0.97,0:0.05/1:0.95,0:0.03/1:0.97,0:0.03/2:0.97,0,0,0:0.05/1:0.95,0:0.05/1:0.95,0:0.05/2:0.95,0
193_9,2,1,1,2,2,2,1,1,2,1
216_15,2,1,1,2,2,2,1,1,2,1
216_14,2,1,1,2,2,2,1,1,2,1
191_7,2,1,1,2,0,0,1,1,2,0
216_13,2,1,1,2,0,0,1,1,2,0
216_12,2,1,1,2,0,0,1,1,2,0
90_1,0:0.07/2:0.93,0,0:0.07/1:0.93,0:0.07/2:0.93,0,0:0.1/1:0.9,0:0.1/2:0.9,0,0:0.1/1:0.9,0:0.1/2:0.9
204_1,2,0:0.07/2:0.93,1,2,0,0:0.01/1:0.99,0:0.01/2:0.99,0:0.07/2:0.93,0:0.01/1:0.99,0:0.01/2:0.99
216_2,2,2,1,2,0,1,2,2,1,2
216_1,2,2,1,2,2,1,2,2,1,2
157_2,2,0,1,2,0,1,2,0:0.01/1:0.99,1,2
206_4,2,0,1,2,2,1,2,1,1,2
216_5,2,0,1,2,2,1,2,1,1,2
216_4,2,0,1,2,2,1,2,1,1,2
200_4,2,0,1,2,0,1,2,0:0.01/1:0.99,1,2
216_7,2,0,1,2,0,1,2,1,1,2
216_6,2,0,1,2,2,1,2,1,1,2
