[&R] ((((216_5:1.55,216_6:2.55)155_5:0.521,((216_9:0,216_10:0)211_7:1.005,(216_7:0,216_8:0)212_6:0.005)165_7:0.067)92_2:4.899,((216_1:0,216_2:0)202_1:1.384,(216_3:0,216_4:0)213_3:1.384)147_1:6.587)37_1:1.03)I0;
I0,0,0,0,0,0,0,0,0,0,0
37_1,0,0,0:0.66/1:0.34,0,0:0.66/1:0.34,0,0,0,0:0.66/1:0.34,0
147_1,0:0.06/1:0.94,0,0:0.04/1:0.96,0:0.06/2:0.94,0:0.04/1:0.96,0:0.06/2:0.94,0,0:0.06/2:0.94,0:0.04/1:0.96,0:0.06/2:0.94
213_3,1,1,1,2,1,2,0,2,1,2
216_4,1,1,1,2,1,2,0,2,1,2
216_3,1,1,1,2,1,2,0,2,1,2
202_1,1,0,1,2,1,2,1,2,1,2
216_2,1,0,1,2,1,2,1,2,1,2
216_1,1,0,1,2,1,2,1,2,1,2
92_2,0:0.01/2:0.99,0:0.01/1:0.99,0:0.01/1:0.99,0,0:0.01/1:0.99,0,0,0:0.01/1:0.99,0:0.01/1:0.99,0
165_7,2,1,1,0,1,0,0,1,1,0
212_6,2,1,1,0,1,0,0,1,1,0
216_8,2,1,1,0,1,0,0,1,1,0
216_7,2,1,1,0,1,0,0,1,1,0
211_7,2,1,1,0,1,0,2,1,1,0
216_10,2,1,1,0,1,0,2,1,1,0
216_9,2,1,1,0,1,0,2,1,1,0
155_5,0:0.01/2:0.99,0:0.01/1:0.99,1,0,1,0,0,0:0.01/1:0.99,1,0:0.51/2:0.49
216_6,2,1,1,0,1,1,1,1,1,2
216_5,2,1,1,1,1,0,0,1,1,2
