[&R] (((((216_5:0,216_6:0)211_5:1.351,(216_7:0,216_8:0)211_6:1.351)173_4:1.126,(216_9:0.141,216_10:1.141)176_6:2.336)124_2:4.027,((216_3:0,216_4:0)171_2:2.996,(216_1:1.331,216_2:1.331)176_1:4.665)126_1:0.508)57_1:2.496)I0;
I0,0,0,0,0,0,0,0,0,0,0
57_1,0,0:0.17/1:0.83,0,0,0,0,0,0,0:0.17/2:0.83,0:0.17/1:0.83
126_1,0:0.66/2:0.34,0:0.11/1:0.89,0,0,0,0,0,0,0:0.11/2:0.89,0:0.11/1:0.89
176_1,0:0.04/2:0.96,0:0.01/1:0.99,0:0.07/2:0.93,0,0:0.07/2:0.93,0:0.07/1:0.93,0,0:0.07/2:0.93,0:0.01/2:0.99,0:0.01/1:0.99
216_2,2,1,2,0,2,1,2,2,2,1
216_1,2,1,2,0,2,1,1,2,2,1
171_2,2,1,1,0,1,0,0,0,2,1
216_4,2,1,1,0,1,0,0,0,2,1
216_3,2,1,1,0,1,0,0,0,2,1
124_2,0,0:0.02/1:0.98,0:0.11/1:0.89,0,0:0.11/1:0.89,0:0.11/1:0.89,0,0:0.11/2:0.89,0:0.02/2:0.98,0:0.02/1:0.98
176_6,0,1,0:0.01/1:0.99,0:0.06/1:0.94,0:0.01/1:0.99,0:0.01/1:0.99,0:0.06/1:0.94,0:0.01/2:0.99,2,1
216_10,1,1,1,1,1,1,1,2,2,1
216_9,0,1,1,1,1,1,1,2,2,1
173_4,0:0.24/1:0.76,1,0:0.03/1:0.97,0,0:0.03/1:0.97,0:0.03/1:0.97,0,0:0.03/2:0.97,2,1
211_6,1,1,1,0,1,1,1,2,2,1
216_8,1,1,1,0,1,1,1,2,2,1
216_7,1,1,1,0,1,1,1,2,2,1
211_5,1,1,1,0,1,1,2,2,2,1
216_6,1,1,1,0,1,1,2,2,2,1
216_5,1,1,1,0,1,1,2,2,2,1
