[&R] ((((((216_3:0,216_4:0)207_2:1.162,(216_1:0,216_2:0)209_1:1.162)165_1:2.609,(216_5:0,216_6:0)210_5:3.771)120_1:0.277,((216_9:0.026,216_10:1.026)177_5:0.004,216_11:2.03)123_3:4.018)70_1:0.007,((216_14:1.035,216_15:0.035)179_9:1.083,216_13:1.119)129_5:1.937)23_1:2.945)I0;
I0,0,0,0,0,0,0,0,0,0,0
23_1,0,0:0.02/2:0.98,0,0,0,0:0.02/2:0.98,0,0,0,0:0.02/1:0.98
129_5,0,2,0,0,0:0.06/1:0.94,2,0,0,0:0.06/1:0.94,1
216_13,0,2,0,0,1,2,0,2,1,1
179_9,0,2,0,0:0.03/2:0.97,1,2,0,0,1,1
216_15,0,2,0,2,1,2,0,0,1,1
216_14,0,2,0,2,1,2,0,2,1,1
70_1,0,0:0.02/2:0.98,0,0,0,0:0.02/2:0.98,0,0,0,0:0.02/1:0.98
123_3,0:0.01/1:0.99,2,0,0:0.01/1:0.99,0:0.01/1:0.99,2,0:0.01/2:0.99,0,0,1
216_11,1,2,0,1,1,2,2,2,2,1
177_5,0:0.01/1:0.99,2,0,0:0.01/1:0.99,0:0.01/1:0.99,2,0:0.01/2:0.99,0,0,1
216_10,1,2,0,1,1,2,2,1,0,1
216_9,1,2,0,1,1,2,2,0,0,1
120_1,0,0:0.01/2:0.99,0,0,0:0.74/2:0.26,0:0.01/2:0.99,0,0,0,0:0.01/1:0.99
210_5,0,2,0,0,2,2,2,1,2,1
216_6,0,2,0,0,2,2,2,1,2,1
216_5,0,2,0,0,2,2,2,1,2,1
165_1,0:0.06/1:0.94,2,0,0:0.06/1:0.94,0:0.04/2:0.96,2,0,0,0,1
209_1,1,2,0,1,2,2,1,0,0,1
216_2,1,2,0,1,2,2,1,0,0,1
216_1,1,2,0,1,2,2,1,0,0,1
207_2,1,2,0,1,2,2,0,1,0,1
216_4,1,2,0,1,2,2,0,1,0,1
216_3,1,2,0,1,2,2,0,1,0,1
